"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1317","@dawnstar26 <ec><b9><ad><eb><94><b0><ec><98><a4> <ea><b8><80><eb><a1><9c><eb><b2><8c> <ea><b3><b5><ec><8b><9d><ea><b3><84><ec><a0><95><ec><9e><85><eb><8b><88><eb><8b><a4> :) <ed><95><b4><ec><8b><9c><ed><83><9c><ea><b7><b8> #NewFriendsAreEverywhere <ec><99><80> <ed><95><a8><ea><bb><98> <ec><b9><ad><eb><94><b0><ec><98><a4><eb><a5><bc> <ec><a6><90><ea><b8><b0><eb><8a><94> <ec><82><ac><ec><a7><84><ec><9d><84> <ec><98><ac><eb><a0><a4><ec><a3><bc><ec><84><b8><ec><9a><94>. <ec><b9><ad><eb><8b><a4><ec><98><a4> <eb><a7><a5><ec><a3><bc><ec><b6><95><ec><a0><9c>+<ec><a4><91><ea><b5><ad><ec><97><ac><ed><96><89><ec><9d><98> <ed><96><89><ec><9a><b4><ec><9d><84> <eb><93><9c><eb><a6><bd><eb><8b><88><eb><8b><a4>! <ed><a0><bd><ed><b1><ac>+<ed><a0><bd><ed><b3><b7>+<ed><a0><bc><ed><bd><bb>=<ed><a0><bc><ed><b7><a8><ed><a0><bc><ed><b7><b3><ed><a0><bc><ed><bd><ba><ed><a0><bc><ed><be><aa>",FALSE,0,"dawnstar26",2016-07-29 10:13:06,FALSE,"758930694105989120","758968586236899328","292441491","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","tsingtao",0,FALSE,FALSE,NA,NA
"1318","@01746marinecode @redpaeonia_ <ec><b9><ad><eb><94><b0><ec><98><a4> <ea><b8><80><eb><a1><9c><eb><b2><8c> <ea><b3><b5><ec><8b><9d><ea><b3><84><ec><a0><95><ec><9e><85><eb><8b><88><eb><8b><a4> :) <ed><95><b4><ec><8b><9c><ed><83><9c><ea><b7><b8> #NewFriendsAreEverywhere <ec><99><80> <ed><95><a8><ea><bb><98> <ec><b9><ad><eb><94><b0><ec><98><a4><eb><a5><bc> <ec><a6><90><ea><b8><b0><eb><8a><94> <ec><82><ac><ec><a7><84><ec><9d><84> <ec><98><ac><eb><a0><a4><ec><a3><bc><ec><84><b8><ec><9a><94>. <ec><b9><ad><eb><8b><a4><ec><98><a4> <eb><a7><a5><ec><a3><bc><ec><b6><95><ec><a0><9c>+<ec><a4><91><ea><b5><ad><ec><97><ac><ed><96><89><ec><9d><98> <ed><96><89><ec><9a><b4><ec><9d><84> <eb><93><9c><eb><a6><bd><eb><8b><88><eb><8b><a4>! <ed><a0><bd><ed><b1><ac>+<ed><a0><bd><ed><b3><b7>+<ed><a0><bc><ed><bd><bb>=<ed><a0><bc><ed><b7><a8><ed><a0><bc><ed><b7><b3><ed><a0><bc><ed><bd><ba><ed><a0><bc><ed><be><aa>",FALSE,0,"be_mydesire",2016-07-29 10:12:55,FALSE,"758942443869831168","758968540082823172","2208841111","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","tsingtao",2,FALSE,FALSE,NA,NA
"1319","@M0M0zzan <ec><b9><ad><eb><94><b0><ec><98><a4> <ea><b8><80><eb><a1><9c><eb><b2><8c> <ea><b3><b5><ec><8b><9d><ea><b3><84><ec><a0><95><ec><9e><85><eb><8b><88><eb><8b><a4> :) <ec><b9><ad><eb><94><b0><ec><98><a4><ea><b0><80> <eb><8d><94> <eb><a7><9b><ec><9e><88><ec><8a><b5><eb><8b><88><eb><8b><a4> :p 
<ed><95><b4><ec><8b><9c><ed><83><9c><ea><b7><b8> #NewFriendsAreEverywhere <ec><99><80> <ed><95><a8><ea><bb><98> <ec><b9><ad><eb><94><b0><ec><98><a4><eb><a5><bc> <ec><a6><90><ea><b8><b0><eb><8a><94> <ec><82><ac><ec><a7><84><ec><9d><84> <ec><98><ac><eb><a0><a4><ec><a3><bc><ec><84><b8><ec><9a><94>. <ec><b9><ad><eb><8b><a4><ec><98><a4> <eb><a7><a5><ec><a3><bc><ec><b6><95><ec><a0><9c>+<ec><a4><91><ea><b5><ad><ec><97><ac><ed><96><89><ec><9d><98> <ed><96><89><ec><9a><b4><ec><9d><84> <eb><93><9c><eb><a6><bd><eb><8b><88><eb><8b><a4>! <ed><a0><bd><ed><b1><ac>+<ed><a0><bd><ed><b3><b7>+<ed><a0><bc><ed><bd><bb>=<ed><a0><bc><ed><b7><a8><ed><a0><bc><ed><b7><b3><ed><a0><bc><ed><bd><ba><ed><a0><bc><ed><be><aa>",FALSE,0,"529MEGA",2016-07-29 10:12:24,FALSE,"758912499546677253","758968408272535553","3788294772","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","tsingtao",1,FALSE,FALSE,NA,NA
"1320","@jeongminbanjeom <ec><b9><ad><eb><94><b0><ec><98><a4> <ea><b8><80><eb><a1><9c><eb><b2><8c> <ea><b3><b5><ec><8b><9d><ea><b3><84><ec><a0><95><ec><9e><85><eb><8b><88><eb><8b><a4> :) <ed><95><b4><ec><8b><9c><ed><83><9c><ea><b7><b8> #NewFriendsAreEverywhere <ec><99><80> <ed><95><a8><ea><bb><98> <ec><b9><ad><eb><94><b0><ec><98><a4><eb><a5><bc> <ec><a6><90><ea><b8><b0><eb><8a><94> <ec><82><ac><ec><a7><84><ec><9d><84> <ec><98><ac><eb><a0><a4><ec><a3><bc><ec><84><b8><ec><9a><94>. <ec><b9><ad><eb><8b><a4><ec><98><a4> <eb><a7><a5><ec><a3><bc><ec><b6><95><ec><a0><9c>+<ec><a4><91><ea><b5><ad><ec><97><ac><ed><96><89><ec><9d><98> <ed><96><89><ec><9a><b4><ec><9d><84> <eb><93><9c><eb><a6><bd><eb><8b><88><eb><8b><a4>! <ed><a0><bd><ed><b1><ac>+<ed><a0><bd><ed><b3><b7>+<ed><a0><bc><ed><bd><bb>=<ed><a0><bc><ed><b7><a8><ed><a0><bc><ed><b7><b3><ed><a0><bc><ed><bd><ba><ed><a0><bc><ed><be><aa>",FALSE,0,"jeongminbanjeom",2016-07-29 10:11:50,FALSE,"758948574285574145","758968269227175936","745439709564801031","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","tsingtao",1,FALSE,FALSE,NA,NA
"1321","<ed><95><b4><ec><8b><9c><ed><83><9c><ea><b7><b8> #NewFriendsAreEverywhere <ec><99><80> <ed><95><a8><ea><bb><98> <ec><b9><ad><eb><94><b0><ec><98><a4><eb><a5><bc> <ec><a6><90><ea><b8><b0><eb><8a><94> <ec><82><ac><ec><a7><84><ec><9d><84> <ec><98><ac><eb><a0><a4><ec><a3><bc><ec><84><b8><ec><9a><94>. <ec><b9><ad><eb><8b><a4><ec><98><a4> <eb><a7><a5><ec><a3><bc><ec><b6><95><ec><a0><9c>+<ec><a4><91><ea><b5><ad><ec><97><ac><ed><96><89><ec><9d><98> <ed><96><89><ec><9a><b4><ec><9d><84> <eb><93><9c><eb><a6><bd><eb><8b><88><eb><8b><a4>! <ed><a0><bd><ed><b1><ac>+<ed><a0><bd><ed><b3><b7>+<ed><a0><bc><ed><bd><bb>=<ed><a0><bc><ed><b7><a8><ed><a0><bc><ed><b7><b3><ed><a0><bc><ed><bd><ba><ed><a0><bc><ed><be><aa> https://t.co/4GUbVVHD3g https://t.co/ZMYipQoG6q",FALSE,56,NA,2016-07-29 09:16:21,FALSE,NA,"758954302375235585",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tsingtao",76,FALSE,FALSE,NA,NA
"1322","<ed><a0><bd><ed><b1><ac> +<ed><a0><bc><ed><bd><bb> +<ed><a0><bd><ed><b3><b7> =<ed><a0><bc><ed><b7><a8><ed><a0><bc><ed><b7><b3> <ed><a0><bc><ed><be><aa> <ed><a0><bc><ed><bd><ba>. Comparte una foto con el hashtag #NewFriendsAreEverywhere. M<c3><a1>s info: https://t.co/4GUbVVHD3g https://t.co/V4rdTloOnE",FALSE,35,NA,2016-07-29 09:11:31,FALSE,NA,"758953086425509889",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tsingtao",10,FALSE,FALSE,NA,NA
"1323","<ed><a0><bd><ed><b1><ac> +<ed><a0><bc><ed><bd><bb> +<ed><a0><bd><ed><b3><b7> =<ed><a0><bc><ed><b7><a8><ed><a0><bc><ed><b7><b3> <ed><a0><bc><ed><be><aa> <ed><a0><bc><ed><bd><ba> Share your photo with the hashtag #NewFriendsAreEverywhere Read more at https://t.co/4GUbVVHD3g https://t.co/939yNGakc8",FALSE,67,NA,2016-07-29 09:02:56,FALSE,NA,"758950926967115781",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tsingtao",29,FALSE,FALSE,NA,NA
"1324","@siksicE <ec><83><88><ed><95><b4><e7><a6><8f> <eb><a7><8e><ec><9d><b4> <eb><b0><9b><ec><9c><bc><ec><84><b8><ec><9a><94> (<eb><9c><ac><ea><b8><88><ed><8f><ac>",FALSE,0,"siksicE",2016-07-29 08:51:04,FALSE,"758944048581267456","758947940136132609","2600844432","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","tsingtao",0,FALSE,FALSE,NA,NA
"1325","@cos_angko @yel__on <ec><9d><bc><eb><b0><98> <ec><b6><95><ec><a0><9c> <ec><b0><b8><ea><b0><80><ec><9e><90><eb><93><a4><ec><9d><80> <eb><b3><b4><ed><86><b5> <ec><88><a0><ec><a7><91><ec><b2><98><eb><9f><bc> <ec><9e><94> <eb><a7><88><eb><8b><a4> <eb><b9><84><ec><9a><a9><ec><9d><84> <ec><a7><80><eb><b6><88><ed><95><98><ec><a7><80><eb><a7><8c> <ec><9d><b4><eb><b2><a4><ed><8a><b8> <eb><8b><b9><ec><b2><a8><ec><9e><90><eb><93><a4><ec><97><90><ea><b2><8c><eb><8a><94> <ed><8a><b9><eb><b3><84> <ed><98><9c><ed><83><9d><ec><9d><b4> <ec><a3><bc><ec><96><b4><ec><a7><80><ec><a3><a0> ;)",FALSE,0,"cos_angko",2016-07-29 08:49:49,FALSE,"758929478361821185","758947627794767872","1959864990","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","tsingtao",0,FALSE,FALSE,NA,NA
"1326","@xthian10 <c2><a1>Genial! Repostea esta foto con el #NewFriendsAreEverywhere y participa en nuestro concurso, m<c3><a1>s aqu<c3><ad>:https://t.co/4GUbVVHD3g",FALSE,0,"xthian10",2016-07-29 07:39:10,FALSE,"749724102823440384","758929847892619264","274802789","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","tsingtao",0,FALSE,FALSE,NA,NA
